path	bytes	lines	sha256	upstream_v6.18
drivers/misc/mediatek-consys/btif/inc/mtk_btif.h	12004	363	105ffa9b55784b0ac0a8912ed0a3ab04140c38a134024e6b5cf4b3d52badbe2c	absent
drivers/misc/mediatek-consys/btif/inc/mtk_btif_exp.h	10544	261	4d61248364360e1fa5f014d361849a226aaf8feb267ff46346b68680e19f0e7d	absent
drivers/misc/mediatek-consys/btif/mt6582/hal_btif.c	35962	1254	c14427612b08d5b8dd97cda781168bd1262419cecebef7cb7562a23b88a7f8c6	absent
drivers/misc/mediatek-consys/btif/mt6582/hal_btif_dma.c	38215	1245	081d1a4b3b90314f96ad6a4acbc33e8650f18a260df380892f8a931a421724f1	absent
drivers/misc/mediatek-consys/btif/mt6582/inc/hal_btif.h	3809	91	e3cc8923a9a05fa016441925b84683be2921b33f94432056d762986003358e65	absent
drivers/misc/mediatek-consys/btif/mt6582/inc/hal_btif_dma.h	6575	142	ad8c76a459c1d3c75008f422a5485ad2c35962618e227fa2bd28be19a7801638	absent
drivers/misc/mediatek-consys/btif/mtk_btif.c	83330	3241	c8a4ac5c29eb15b2e5bd8cae23e4b85eace6a7c3a6b4e39cda0bb9b93545570d	absent
drivers/misc/mediatek-consys/btif/mtk_btif_exp.c	20881	760	ec85fd46f74671f0b90d60f9b2ea7bd684203e1ef81acb2948c9f53a7803c3df	absent
drivers/misc/mediatek-consys/common/Makefile	453	8	71091da4374bb1855930a26909c727f7b204bc3f4d5ae09c42097cc3308e7a44	absent
drivers/misc/mediatek-consys/common/core/btm_core.c	38514	1429	bbd3ed17e7d640faae0b61f245212c169847e85880fe8f64b3c3cb5a26ebd219	absent
drivers/misc/mediatek-consys/common/core/dbg_core.c	616	13	df9732819dc25c2a4877afd870f0b802a78e080c94f75e7f98e54bee0d42d133	absent
drivers/misc/mediatek-consys/common/core/include/btm_core.h	4813	138	0ebde772e535b5ba4e47c35bb40bf5cdb8a520846285a734bd3cc18d2a12fb2c	absent
drivers/misc/mediatek-consys/common/core/include/dbg_core.h	2791	77	5c09aa6d6a2bd165c0270ca63dde428b2a0665964721ccd67bb61ba440b1004b	absent
drivers/misc/mediatek-consys/common/core/include/psm_core.h	9394	260	fe3cb7fdfedc4bf10c563fe95a5af8248533147a48138debfb8436e00ecc4ac1	absent
drivers/misc/mediatek-consys/common/core/include/stp_core.h	20280	616	e25e1eaff9487ff6571d0b8e88efe92024d0439bf49b275fed26e7ddf87e62e1	absent
drivers/misc/mediatek-consys/common/core/include/stp_wmt.h	3262	103	868fd39c058c62f37c15706c2fbf359756453a840cab653d60b6ca735fd2f253	absent
drivers/misc/mediatek-consys/common/core/include/wmt_conf.h	3035	95	3d329132b4ca95adfc9e6d44f313e01eb88a258e0742b82973aea680ef42c53a	absent
drivers/misc/mediatek-consys/common/core/include/wmt_core.h	12758	476	58daa7b2e67e0153a609926117901e5d26b6c60a5f1ff57e8962f082342ec7d9	absent
drivers/misc/mediatek-consys/common/core/include/wmt_ctrl.h	4669	153	ddf15a21d0a6d7525791c166883a6563ca6c7bc14543b45cfb6cb1f641a61a35	absent
drivers/misc/mediatek-consys/common/core/include/wmt_func.h	4153	148	e5cae3acbcae23597fd075a5c4a4611409323bbf348c0bac5a4561cb24659a79	absent
drivers/misc/mediatek-consys/common/core/include/wmt_ic.h	4481	126	81fbb1917b00d4b22bc1e064b0d8929df9ee7f7024de72020453b18f8cea5362	absent
drivers/misc/mediatek-consys/common/core/include/wmt_lib.h	11026	330	2e2a58eb00e3fb561742007676a2e61c38f35b3bc6361d6241923d7a980969d7	absent
drivers/misc/mediatek-consys/common/core/psm_core.c	64957	2204	36939962dcce110c39460e8c15d17e6e2480a84a833126b7e4afd8f080508ba8	absent
drivers/misc/mediatek-consys/common/core/stp_core.c	127265	3701	2aae15a411314a7e4667d40487870aad041ff696e14e4f16154612bf2025907d	absent
drivers/misc/mediatek-consys/common/core/wmt_conf.c	14931	539	7f2d9f409d6c20849553bc191171c2abf920407e078babdfff954d728779a84b	absent
drivers/misc/mediatek-consys/common/core/wmt_core.c	74512	2295	107bab25a67d22aa3ed751a2b62d2d0e7bcb11dfda314a86a76fd97f89b9acd5	absent
drivers/misc/mediatek-consys/common/core/wmt_ctrl.c	32367	1105	9164a462d197d3c060cfea673669afb5c413fced77cff8aeb2ba07470d6f169d	absent
drivers/misc/mediatek-consys/common/core/wmt_func.c	21083	773	40140d1d7730655aa13f05da66dc61472f5d535dd57ba7fdbb99aee52615504d	absent
drivers/misc/mediatek-consys/common/core/wmt_ic_soc.c	78409	2230	e6421cb02c6757ef82704373a0658401c6fc4b713a196d5db99876c80fb3e8a9	absent
drivers/misc/mediatek-consys/common/core/wmt_lib.c	52773	2086	8452fc621e80db05789ab642d4d464c0d5f23bac774b90a50f11546befb2991c	absent
drivers/misc/mediatek-consys/common/include/stp_exp.h	9138	276	d17e49db99b278453e314779575d2925696ef44f80e65a70c7c30f9045c7c963	absent
drivers/misc/mediatek-consys/common/include/wmt.h	702	21	cc23c87e8c8af641742bac6187fd30c54ff73980b27f63b62386a4f56b04cc07	absent
drivers/misc/mediatek-consys/common/include/wmt_exp.h	9651	317	385b25c15497856ea772972609f57737c9fa133bffc8d0120156d990cfb58e41	absent
drivers/misc/mediatek-consys/common/include/wmt_plat.h	9084	300	75030c5bb8b6fe1d42385007f0761c40d9ceadeb138760f936afe2ae416226b5	absent
drivers/misc/mediatek-consys/common/linux/include/bgw_desense.h	1586	72	201bee4fc8a20123e9fc9d3674cd14740da2cccc4b50c45e3d397d368fa6813f	absent
drivers/misc/mediatek-consys/common/linux/include/osal.h	12416	374	24b1fb248a5fc88ededf779edb80a2e828e82627b4d590e1d6d490aa48b4ce64	absent
drivers/misc/mediatek-consys/common/linux/include/osal_typedef.h	2688	96	b5d22471b3ebb0aab6b180f5b66aded7a00c8480f14025f219863e249c8ff693	absent
drivers/misc/mediatek-consys/common/linux/include/wmt_idc.h	1966	65	0ae809c84d77e7af11da52b0b4eaf8a89b7d0f2b5b216644e1f81e98cb4e6e6c	absent
drivers/misc/mediatek-consys/common/linux/pri/include/stp_btif.h	1275	30	6f0b81b13e55b99b065d777e42736b8fa7fb89955ff3d748ef2858615f5561cc	absent
drivers/misc/mediatek-consys/common/linux/pri/include/stp_dbg.h	8098	303	d2590bc20e93a63d9d51b1010092a3020c50dbca8270bc02cefd39b680c3f256	absent
drivers/misc/mediatek-consys/common/linux/pri/include/wmt_dev.h	2264	79	7b5cf10b95c1d37bce6791837b91bce298da89cb30b7866baba41877456e1be2	absent
drivers/misc/mediatek-consys/common/linux/pri/stp_btif.c	7083	278	4a0634adddda952cd9754f4ac87ce88805d1b0a71771fdf27801d6809ed831cb	absent
drivers/misc/mediatek-consys/common/linux/pri/stp_dbg.c	54016	1911	1e994c3abc4420dbe4642781d404ca8e1fe63434ce2a5262c4b4fc26e2427447	absent
drivers/misc/mediatek-consys/common/linux/pri/stp_exp.c	8985	332	1a051b78337a799a7e82f7533dd5055c60118d18b3161bde1d0393a8e9d52ff8	absent
drivers/misc/mediatek-consys/common/linux/pri/wmt_dev.c	70937	2542	8acc5951fd8ac940f78d23df0d6846aea2341870a752127089e35f23f1cf521e	absent
